"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"1",2732,2,1,1,12,"主卧","高楼层","是","通州","集中供暖"
"2",2737,3,1,1,9,"次卧","低楼层","是","昌平","集中供暖"
"3",2821,3,1,1,14,"主卧","低楼层","是","丰台","集中供暖"
"4",2651,4,1,1,8,"次卧","低楼层","是","丰台","集中供暖"
"5",2660,4,1,1,13,"主卧","高楼层","否","丰台","集中供暖"
"6",2512,3,1,1,12,"次卧","高楼层","是","顺义","集中供暖"
"7",2190,2,1,1,10,"次卧","高楼层","是","大兴","集中供暖"
"8",2798,4,1,1,13,"主卧","中楼层","是","朝阳","集中供暖"
"9",2797,4,1,1,10,"次卧","低楼层","是","昌平","集中供暖"
"10",2638,4,1,1,13,"主卧","中楼层","是","昌平","集中供暖"
"11",3016,4,1,1,18,"主卧","低楼层","是","昌平","集中供暖"
"12",2742,2,1,1,10,"次卧","高楼层","是","海淀","集中供暖"
"13",2530,3,1,1,12,"主卧","中楼层","是","昌平","集中供暖"
"14",2734,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
"15",2542,3,1,1,11,"主卧","低楼层","是","丰台","集中供暖"
"16",2797,5,1,1,16,"次卧","低楼层","是","朝阳","集中供暖"
"17",2698,2,1,1,9,"次卧","中楼层","是","通州","集中供暖"
"18",2508,2,1,1,12,"次卧","中楼层","否","通州","集中供暖"
"19",3501,3,1,1,13,"次卧","中楼层","是","海淀","集中供暖"
"20",2697,2,1,1,9,"主卧","高楼层","否","朝阳","自采暖"
"21",2597,2,1,1,14,"主卧","高楼层","是","通州","集中供暖"
"22",2832,2,1,1,13,"主卧","中楼层","是","石景山","集中供暖"
"23",2822,2,1,1,12,"主卧","高楼层","否","通州","集中供暖"
"24",3728,2,1,1,13,"主卧","低楼层","是","朝阳","集中供暖"
"25",3273,3,1,1,14,"次卧","高楼层","是","朝阳","集中供暖"
"26",2515,4,1,1,15,"次卧","高楼层","是","大兴","集中供暖"
"27",2715,3,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
"28",2252,2,1,1,11,"主卧","中楼层","是","顺义","集中供暖"
"29",3031,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
"30",2686,2,1,1,13,"主卧","中楼层","是","通州","集中供暖"
"31",2821,4,1,1,13,"次卧","中楼层","是","丰台","集中供暖"
"32",2432,4,1,1,11,"次卧","中楼层","是","大兴","集中供暖"
"33",2804,3,1,1,10,"主卧","中楼层","是","朝阳","自采暖"
"34",2505,2,1,1,14,"主卧","中楼层","是","昌平","集中供暖"
"35",2663,4,1,1,14,"主卧","低楼层","是","朝阳","集中供暖"
"36",2691,4,1,1,15,"主卧","高楼层","是","丰台","集中供暖"
"37",3088,3,1,1,17,"主卧","中楼层","是","朝阳","集中供暖"
"38",2756,3,1,1,14,"次卧","中楼层","是","朝阳","集中供暖"
"39",2816,3,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
"40",3535,3,1,1,13,"次卧","低楼层","是","丰台","自采暖"
"41",2544,2,1,1,10,"次卧","低楼层","是","通州","自采暖"
"42",2813,4,1,1,10,"次卧","低楼层","是","丰台","自采暖"
"43",2001,4,1,1,16,"次卧","中楼层","否","顺义","自采暖"
"44",2348,2,1,1,13,"主卧","高楼层","是","大兴","集中供暖"
"45",3066,2,1,1,9,"主卧","高楼层","是","朝阳","集中供暖"
"46",3496,4,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
"47",2742,4,1,1,11,"次卧","高楼层","否","海淀","集中供暖"
"48",2178,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
"49",2686,3,1,1,12,"次卧","低楼层","是","丰台","集中供暖"
"50",2527,2,1,1,15,"主卧","高楼层","是","通州","集中供暖"
"51",2800,4,1,1,14,"次卧","高楼层","是","朝阳","集中供暖"
"52",2691,4,1,1,10,"次卧","高楼层","是","丰台","自采暖"
"53",2726,2,1,1,10,"主卧","高楼层","是","丰台","集中供暖"
"54",2812,4,1,1,19,"主卧","中楼层","是","朝阳","自采暖"
"55",2333,3,1,1,14,"主卧","低楼层","是","通州","集中供暖"
"56",3290,3,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
"57",2858,3,1,1,10,"次卧","低楼层","是","丰台","集中供暖"
"58",2620,3,1,1,11,"主卧","低楼层","否","朝阳","自采暖"
"59",3040,4,1,1,17,"次卧","低楼层","是","昌平","集中供暖"
"60",3040,2,1,1,11,"次卧","低楼层","是","朝阳","集中供暖"
"61",2656,5,1,1,18,"主卧","低楼层","否","通州","集中供暖"
"62",2520,4,1,1,14,"主卧","高楼层","否","通州","集中供暖"
"63",2510,2,1,1,14,"主卧","高楼层","是","房山","自采暖"
"64",2397,2,1,1,10,"次卧","中楼层","是","顺义","集中供暖"
"65",2879,2,1,1,10,"次卧","高楼层","是","丰台","集中供暖"
"66",2660,3,1,1,16,"主卧","中楼层","是","大兴","集中供暖"
"67",2700,4,2,2,7,"次卧","高楼层","是","昌平","集中供暖"
"68",2637,2,1,1,19,"主卧","中楼层","否","通州","集中供暖"
