剧名,类型,播放量,点赞,差评,得分,采集日期
花千骨2015,"言情剧
/
穿越剧
/
网络剧",3.07亿,"992,342","357,808",7.3,2015-9-23 23:48:48
还珠格格2015,"古装剧

/
喜剧

/
网络剧",73.3万,"2,352","7,240",2.5,2015-9-23 23:48:48
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3454万,"38,746","3,593",9.2,2015-9-23 23:48:52
明若晓溪,"青春剧
/
言情剧
/
偶像剧",1.57亿,"518,660","72,508",8.8,2015-9-23 23:48:51
多情江山,"言情剧
/
古装剧
/
宫廷剧",1126万,"22,553","6,955",7.6,2015-9-23 23:48:52
我是机器人,"偶像剧

/
喜剧",1660万,"37,905","3,605",9.1,2015-9-23 23:48:51
琅琊榜,"历史剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",1.29亿,"401,973","15,829",9.6,2015/9/23 23:48:53
伪装者,"谍战剧
/
悬疑剧",7.36亿,"996,680","102,042",9.1,2015-9-23 23:49:03
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",3.91亿,"256,631","84,710",7.5,2015-9-23 23:49:02
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",8298万,"43,746","17,323",7.2,2015-9-23 23:49:02
生死血符,年代剧,644万,"5,141","3,111",6.2,2015-9-23 23:49:03
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",117万,"1,383",535,7.2,2015-9-23 23:49:03
最佳前男友,"言情剧
/
偶像剧",5.78亿,"599,349","96,435",8.6,2015-9-23 23:49:05
鸳鸯佩,"言情剧

/
年代剧",2.62亿,"257,062","96,732",7.3,2015-9-23 23:49:04
我的媳妇是女王,言情剧,2.27亿,"275,287","52,397",8.4,2015-9-23 23:49:05
二胎时代未删减版,"言情剧

/
家庭剧",2163万,"23,706","3,010",8.9,2015-9-23 23:49:04
二胎时代,"家庭剧
/
言情剧",2.44亿,"329,236","54,983",8.6,2015/9/23 23:49:06
绝命追踪,悬疑剧,6466万,"73,433","2,684",9.6,2015-9-23 23:49:15
少年神探狄仁杰,"古装剧
/
悬疑剧",3.85亿,"653,103","75,272",9.0,2015-9-23 23:49:15
神犬小七未删减版,偶像剧,2402万,"63,344","7,292",9.0,2015-9-23 23:49:17
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.20亿,"65,093","19,437",7.7,2015-9-23 23:49:17
冰与火的青春,"青春剧
/
言情剧
/
偶像剧",6.60亿,"784,682","195,799",8.0,2015-9-23 23:49:18
